Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:50
Created by CETR UMT ver.1.136.257 12 May 2022 12:29:32
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_093.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:29:32
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.10
Data Count   = 106
Started at: 12:29:32.281 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

167.995026,-200.267746,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,167.995026,0.838852
167.972351,-200.206100,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0150,167.972351,0.838997
167.975235,-200.258591,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0350,167.975235,0.838792
167.930756,-200.244003,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0550,167.930756,0.838631
167.690094,-200.213608,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0750,167.690094,0.837556
162.144135,-200.239426,-0.6640,0.000000,3.949250,-0.003375,0.000000,0.000000,0.0950,162.144135,0.809751
129.331924,-199.785019,-0.6646,0.000000,3.949250,-0.008100,0.000000,0.000000,0.1150,129.331924,0.647355
79.281853,-200.255249,-0.6650,0.000000,3.949250,-0.010500,0.000000,0.000000,0.1350,79.281853,0.395904
30.783623,-199.881241,-0.6655,0.000000,3.949250,-0.012400,0.000000,0.000000,0.1550,30.783623,0.154010
-16.693108,-199.421844,-0.6655,0.000000,3.949250,-0.010750,0.000000,0.000000,0.1750,16.693108,0.083708
-67.527740,-199.545975,-0.6655,0.000000,3.949250,-0.009325,0.000000,0.000000,0.1950,67.527740,0.338407
-116.194511,-200.467239,-0.6655,0.000000,3.949250,-0.007300,0.000000,0.000000,0.2150,116.194511,0.579618
-133.876572,-202.355606,-0.6655,0.000000,3.949250,-0.002500,0.000000,0.000000,0.2350,133.876572,0.661591
-143.664734,-203.594666,-0.6646,0.000000,3.949250,0.001300,0.000000,0.000000,0.2550,143.664734,0.705641
-146.503845,-204.575485,-0.6649,0.000000,3.949250,-0.002350,0.000000,0.000000,0.2750,146.503845,0.716136
-150.329041,-205.341400,-0.6652,0.000000,3.949250,-0.005350,0.000000,0.000000,0.2950,150.329041,0.732093
-159.520111,-205.542145,-0.6659,0.000000,3.949250,-0.009600,0.000000,0.000000,0.3150,159.520111,0.776094
-160.347122,-205.697510,-0.6675,0.000000,3.949250,-0.020000,0.000000,0.000000,0.3350,160.347122,0.779529
-155.186447,-205.572128,-0.6684,0.000000,3.949250,-0.024275,0.000000,0.000000,0.3550,155.186447,0.754900
-162.560318,-205.316422,-0.6699,0.000000,3.949250,-0.030450,0.000000,0.000000,0.3750,162.560318,0.791755
-161.125916,-205.215637,-0.6712,0.000000,3.949250,-0.035925,0.000000,0.000000,0.3950,161.125916,0.785154
-160.676773,-204.860367,-0.6724,0.000000,3.949250,-0.040700,0.000000,0.000000,0.4150,160.676773,0.784323
