Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:49
Created by CETR UMT ver.1.136.257 12 May 2022 12:27:32
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_069.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:27:32
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.14
Data Count   = 108
Started at: 12:27:33.137 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

163.498383,-200.286194,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,163.498383,0.816324
163.499008,-200.303146,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0197,163.499008,0.816258
163.473862,-200.279816,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0397,163.473862,0.816227
163.479630,-200.301071,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0597,163.479630,0.816170
161.762161,-200.324371,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0797,161.762161,0.807501
143.199509,-200.090744,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0997,143.199509,0.715673
96.925186,-200.326050,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.1197,96.925186,0.483837
47.247211,-200.424332,-0.6627,0.000000,3.949250,-0.004950,0.000000,0.000000,0.1397,47.247211,0.235736
-0.264133,-199.861664,-0.6636,0.000000,3.949250,-0.011300,0.000000,0.000000,0.1597,0.264133,0.001322
-49.615749,-199.561798,-0.6640,0.000000,3.949250,-0.012500,0.000000,0.000000,0.1797,49.615749,0.248623
-100.639526,-200.021591,-0.6650,0.000000,3.949250,-0.017725,0.000000,0.000000,0.1997,100.639526,0.503143
-125.673210,-201.770020,-0.6650,0.000000,3.949250,-0.015200,0.000000,0.000000,0.2197,125.673210,0.622854
-139.210327,-202.952423,-0.6648,0.000000,3.949250,-0.011300,0.000000,0.000000,0.2397,139.210327,0.685926
-140.242538,-204.191895,-0.6645,0.000000,3.949250,-0.007700,0.000000,0.000000,0.2597,140.242538,0.686817
-141.662521,-205.015289,-0.6645,0.000000,3.949250,-0.006500,0.000000,0.000000,0.2797,141.662521,0.690985
-146.360046,-205.339325,-0.6659,0.000000,3.949250,-0.015525,0.000000,0.000000,0.2997,146.360046,0.712772
-152.181686,-205.386398,-0.6667,0.000000,3.949250,-0.019500,0.000000,0.000000,0.3197,152.181686,0.740953
-154.914474,-205.293518,-0.6677,0.000000,3.949250,-0.024375,0.000000,0.000000,0.3397,154.914474,0.754600
-157.921722,-205.175644,-0.6689,0.000000,3.949250,-0.030200,0.000000,0.000000,0.3597,157.921722,0.769690
-159.933823,-204.925339,-0.6705,0.000000,3.949250,-0.037000,0.000000,0.000000,0.3797,159.933823,0.780449
-158.484589,-204.779144,-0.6715,0.000000,3.949250,-0.038425,0.000000,0.000000,0.3997,158.484589,0.773929
-159.821747,-204.367661,-0.6729,0.000000,3.949250,-0.042700,0.000000,0.000000,0.4197,159.821747,0.782031
