Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:47
Created by CETR UMT ver.1.136.257 12 May 2022 12:23:21
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_018.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:23:21
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.15
Data Count   = 109
Started at: 12:23:22.056 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

167.646423,-200.267746,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,167.646423,0.837111
167.685150,-200.225266,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0150,167.685150,0.837482
167.650131,-200.272324,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0350,167.650131,0.837111
167.653824,-200.274826,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0550,167.653824,0.837119
167.471695,-200.252747,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0750,167.471695,0.836302
162.697128,-200.263580,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0950,162.697128,0.812415
131.648544,-199.870407,-0.6612,0.000000,3.949250,-0.001400,0.000000,0.000000,0.1150,131.648544,0.658670
80.831215,-200.372269,-0.6620,0.000000,3.949250,-0.007000,0.000000,0.000000,0.1350,80.831215,0.403405
32.427345,-200.055740,-0.6625,0.000000,3.949250,-0.009375,0.000000,0.000000,0.1550,32.427345,0.162092
-13.608399,-199.648834,-0.6622,0.000000,3.949250,-0.005650,0.000000,0.000000,0.1750,13.608399,0.068162
-64.112564,-199.809189,-0.6622,0.000000,3.949250,-0.005575,0.000000,0.000000,0.1950,64.112564,0.320869
-108.404869,-201.023254,-0.6625,0.000000,3.949250,-0.007200,0.000000,0.000000,0.2150,108.404869,0.539265
-119.706940,-202.968246,-0.6625,0.000000,3.949250,-0.006000,0.000000,0.000000,0.2350,119.706940,0.589782
-127.103889,-204.188568,-0.6620,0.000000,3.949250,-0.001725,0.000000,0.000000,0.2550,127.103889,0.622483
-136.009827,-204.744995,-0.6624,0.000000,3.949250,-0.003600,0.000000,0.000000,0.2750,136.009827,0.664289
-138.689056,-205.551315,-0.6632,0.000000,3.949250,-0.009225,0.000000,0.000000,0.2950,138.689056,0.674717
-146.936111,-205.461365,-0.6643,0.000000,3.949250,-0.016500,0.000000,0.000000,0.3150,146.936111,0.715152
-152.658829,-205.475113,-0.6655,0.000000,3.949250,-0.022500,0.000000,0.000000,0.3350,152.658829,0.742955
-145.371918,-205.392639,-0.6669,0.000000,3.949250,-0.030100,0.000000,0.000000,0.3550,145.371918,0.707776
-151.760544,-205.105255,-0.6684,0.000000,3.949250,-0.035750,0.000000,0.000000,0.3750,151.760544,0.739915
-151.556168,-204.986969,-0.6695,0.000000,3.949250,-0.038900,0.000000,0.000000,0.3950,151.556168,0.739345
-150.179871,-204.765823,-0.6704,0.000000,3.949250,-0.041000,0.000000,0.000000,0.4150,150.179871,0.733423
