Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:47
Created by CETR UMT ver.1.136.257 12 May 2022 12:24:20
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_030.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:24:20
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.12
Data Count   = 107
Started at: 12:24:20.959 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

160.774033,-200.276077,-0.6610,0.000000,3.949250,0.000100,0.000000,0.000000,0.0000,160.774033,0.802762
160.818115,-200.268570,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0175,160.818115,0.803012
160.756302,-200.280243,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0375,160.756302,0.802657
160.746826,-200.235672,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0575,160.746826,0.802788
158.595856,-200.283981,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0775,158.595856,0.791855
139.026947,-199.960800,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0975,139.026947,0.695271
91.294334,-200.194031,-0.6617,0.000000,3.949250,-0.004275,0.000000,0.000000,0.1175,91.294334,0.456029
41.407444,-200.219025,-0.6625,0.000000,3.949250,-0.009200,0.000000,0.000000,0.1375,41.407444,0.206811
-5.490747,-199.550964,-0.6625,0.000000,3.949250,-0.008000,0.000000,0.000000,0.1575,5.490747,0.027516
-55.051693,-199.638428,-0.6625,0.000000,3.949250,-0.006575,0.000000,0.000000,0.1775,55.051693,0.275757
-105.168518,-200.465988,-0.6625,0.000000,3.949250,-0.005800,0.000000,0.000000,0.1975,105.168518,0.524620
-123.194649,-202.361435,-0.6625,0.000000,3.949250,-0.005050,0.000000,0.000000,0.2175,123.194649,0.608785
-132.308670,-203.748337,-0.6625,0.000000,3.949250,-0.004300,0.000000,0.000000,0.2375,132.308670,0.649373
-132.604538,-204.927826,-0.6625,0.000000,3.949250,-0.003500,0.000000,0.000000,0.2575,132.604538,0.647079
-133.790863,-205.532166,-0.6630,0.000000,3.949250,-0.006350,0.000000,0.000000,0.2775,133.790863,0.650949
-140.823547,-205.593384,-0.6641,0.000000,3.949250,-0.013500,0.000000,0.000000,0.2975,140.823547,0.684961
-146.502197,-205.564651,-0.6652,0.000000,3.949250,-0.021450,0.000000,0.000000,0.3175,146.502197,0.712682
-150.047195,-205.511337,-0.6663,0.000000,3.949250,-0.028200,0.000000,0.000000,0.3375,150.047195,0.730116
-150.355820,-205.306839,-0.6675,0.000000,3.949250,-0.031000,0.000000,0.000000,0.3575,150.355820,0.732347
-155.784760,-205.017792,-0.6694,0.000000,3.949250,-0.038125,0.000000,0.000000,0.3775,155.784760,0.759860
-153.424057,-204.851608,-0.6702,0.000000,3.949250,-0.042350,0.000000,0.000000,0.3975,153.424057,0.748952
-157.334930,-204.579651,-0.6714,0.000000,3.949250,-0.044675,0.000000,0.000000,0.4175,157.334930,0.769064
