Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:50
Created by CETR UMT ver.1.136.257 12 May 2022 12:29:37
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_094.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:29:37
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.15
Data Count   = 109
Started at: 12:29:37.181 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

166.148972,-200.346054,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,166.148972,0.829310
166.207489,-200.232346,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0150,166.207489,0.830073
166.212021,-200.320206,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0350,166.212021,0.829732
166.200485,-200.283569,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0550,166.200485,0.829826
165.941711,-200.295227,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0750,165.941711,0.828486
160.405624,-200.274826,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0950,160.405624,0.800928
128.544876,-200.017853,-0.6632,0.000000,3.949250,-0.001400,0.000000,0.000000,0.1150,128.544876,0.642667
77.747749,-200.589264,-0.6640,0.000000,3.949250,-0.007000,0.000000,0.000000,0.1350,77.747749,0.387597
30.021305,-200.212357,-0.6640,0.000000,3.949250,-0.006525,0.000000,0.000000,0.1550,30.021305,0.149947
-18.165823,-199.706741,-0.6644,0.000000,3.949250,-0.007900,0.000000,0.000000,0.1750,18.165823,0.090962
-68.892906,-199.831680,-0.6645,0.000000,3.949250,-0.007825,0.000000,0.000000,0.1950,68.892906,0.344755
-116.686104,-200.752121,-0.6645,0.000000,3.949250,-0.006700,0.000000,0.000000,0.2150,116.686104,0.581245
-134.500031,-202.657974,-0.6645,0.000000,3.949250,-0.005500,0.000000,0.000000,0.2350,134.500031,0.663680
-143.820068,-203.925339,-0.6640,0.000000,3.949250,-0.000275,0.000000,0.000000,0.2550,143.820068,0.705258
-146.072418,-204.986145,-0.6644,0.000000,3.949250,-0.002450,0.000000,0.000000,0.2750,146.072418,0.712597
-152.044037,-205.485519,-0.6650,0.000000,3.949250,-0.006650,0.000000,0.000000,0.2950,152.044037,0.739926
-157.267761,-205.700836,-0.6659,0.000000,3.949250,-0.013000,0.000000,0.000000,0.3150,157.267761,0.764546
-158.446274,-205.710419,-0.6675,0.000000,3.949250,-0.023000,0.000000,0.000000,0.3350,158.446274,0.770239
-154.746353,-205.615463,-0.6684,0.000000,3.949250,-0.026325,0.000000,0.000000,0.3550,154.746353,0.752601
-162.522415,-205.324753,-0.6699,0.000000,3.949250,-0.032450,0.000000,0.000000,0.3750,162.522415,0.791538
-158.965073,-205.197296,-0.6712,0.000000,3.949250,-0.037700,0.000000,0.000000,0.3950,158.965073,0.774694
-161.410660,-204.881607,-0.6724,0.000000,3.949250,-0.042100,0.000000,0.000000,0.4150,161.410660,0.787824
