Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:49
Created by CETR UMT ver.1.136.257 12 May 2022 12:27:57
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_074.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:27:57
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.10
Data Count   = 106
Started at: 12:27:57.909 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

158.512070,-200.233871,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,158.512070,0.791635
158.500671,-200.268570,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0175,158.500671,0.791441
158.484589,-200.235260,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0375,158.484589,0.791492
158.480896,-200.270660,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0575,158.480896,0.791334
156.807098,-200.247757,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0775,156.807098,0.783065
139.557281,-199.930389,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0975,139.557281,0.698029
94.044861,-200.048264,-0.6637,0.000000,3.949250,-0.004950,0.000000,0.000000,0.1175,94.044861,0.470111
44.671402,-200.140289,-0.6646,0.000000,3.949250,-0.011300,0.000000,0.000000,0.1375,44.671402,0.223200
-2.690775,-199.427689,-0.6650,0.000000,3.949250,-0.012500,0.000000,0.000000,0.1575,2.690775,0.013492
-52.608566,-199.446014,-0.6650,0.000000,3.949250,-0.010600,0.000000,0.000000,0.1775,52.608566,0.263773
-103.075233,-200.034912,-0.6650,0.000000,3.949250,-0.009100,0.000000,0.000000,0.1975,103.075233,0.515286
-125.219528,-202.124451,-0.6648,0.000000,3.949250,-0.006025,0.000000,0.000000,0.2175,125.219528,0.619517
-139.324463,-203.179413,-0.6644,0.000000,3.949250,-0.002400,0.000000,0.000000,0.2375,139.324463,0.685721
-142.094360,-204.470123,-0.6640,0.000000,3.949250,0.000000,0.000000,0.000000,0.2575,142.094360,0.694939
-147.508041,-205.187302,-0.6645,0.000000,3.949250,-0.003800,0.000000,0.000000,0.2775,147.508041,0.718895
-153.609879,-205.445953,-0.6652,0.000000,3.949250,-0.011350,0.000000,0.000000,0.2975,153.609879,0.747690
-156.397491,-205.535904,-0.6662,0.000000,3.949250,-0.016750,0.000000,0.000000,0.3175,156.397491,0.760925
-157.228226,-205.492172,-0.6674,0.000000,3.949250,-0.021600,0.000000,0.000000,0.3375,157.228226,0.765130
-158.297531,-205.306427,-0.6690,0.000000,3.949250,-0.030000,0.000000,0.000000,0.3575,158.297531,0.771031
-158.930450,-204.959488,-0.6700,0.000000,3.949250,-0.036175,0.000000,0.000000,0.3775,158.930450,0.775424
-159.076324,-204.786652,-0.6714,0.000000,3.949250,-0.038600,0.000000,0.000000,0.3975,159.076324,0.776790
-158.175964,-204.462616,-0.6727,0.000000,3.949250,-0.041975,0.000000,0.000000,0.4175,158.175964,0.773618
