Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:47
Created by CETR UMT ver.1.136.257 12 May 2022 12:24:15
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_029.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:24:15
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.13
Data Count   = 108
Started at: 12:24:16.079 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

169.358124,-200.168167,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,169.358124,0.846079
169.325989,-200.254822,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0122,169.325989,0.845553
169.295090,-200.215256,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0322,169.295090,0.845565
169.314453,-200.257736,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0522,169.314453,0.845483
169.153748,-200.239426,-0.6610,0.000000,3.949250,0.000000,0.000000,0.000000,0.0722,169.153748,0.844757
165.692413,-200.260666,-0.6612,0.000000,3.949250,-0.001500,0.000000,0.000000,0.0922,165.692413,0.827384
138.628906,-200.001190,-0.6620,0.000000,3.949250,-0.007500,0.000000,0.000000,0.1122,138.628906,0.693140
88.015129,-200.451828,-0.6620,0.000000,3.949250,-0.007025,0.000000,0.000000,0.1322,88.015129,0.439084
39.140270,-200.308563,-0.6624,0.000000,3.949250,-0.008050,0.000000,0.000000,0.1522,39.140270,0.195400
-7.033926,-199.618423,-0.6625,0.000000,3.949250,-0.008050,0.000000,0.000000,0.1722,7.033926,0.035237
-56.751457,-199.661758,-0.6626,0.000000,3.949250,-0.007900,0.000000,0.000000,0.1922,56.751457,0.284238
-107.008789,-200.442245,-0.6630,0.000000,3.949250,-0.009500,0.000000,0.000000,0.2122,107.008789,0.533863
-125.540108,-202.380997,-0.6625,0.000000,3.949250,-0.004750,0.000000,0.000000,0.2322,125.540108,0.620316
-132.683655,-203.720444,-0.6622,0.000000,3.949250,-0.001350,0.000000,0.000000,0.2522,132.683655,0.651303
-132.439713,-204.973648,-0.6622,0.000000,3.949250,-0.001575,0.000000,0.000000,0.2722,132.439713,0.646130
-137.759033,-205.468857,-0.6628,0.000000,3.949250,-0.005600,0.000000,0.000000,0.2922,137.759033,0.670462
-142.719467,-205.763321,-0.6640,0.000000,3.949250,-0.014000,0.000000,0.000000,0.3122,142.719467,0.693610
-148.239059,-205.658768,-0.6650,0.000000,3.949250,-0.022550,0.000000,0.000000,0.3322,148.239059,0.720801
-150.733276,-205.484268,-0.6664,0.000000,3.949250,-0.027200,0.000000,0.000000,0.3522,150.733276,0.733551
-148.527496,-205.371384,-0.6677,0.000000,3.949250,-0.032150,0.000000,0.000000,0.3722,148.527496,0.723214
-152.094315,-205.223541,-0.6689,0.000000,3.949250,-0.037300,0.000000,0.000000,0.3922,152.094315,0.741115
-155.949997,-204.904922,-0.6705,0.000000,3.949250,-0.042500,0.000000,0.000000,0.4122,155.949997,0.761085
