Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:50
Created by CETR UMT ver.1.136.257 12 May 2022 12:29:17
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_090.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:29:17
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.13
Data Count   = 108
Started at: 12:29:17.329 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

161.261536,-200.290329,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,161.261536,0.805139
161.236771,-200.276077,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0122,161.236771,0.805073
161.242950,-200.244415,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0322,161.242950,0.805231
161.205032,-200.296906,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0522,161.205032,0.804830
161.183609,-200.227356,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0722,161.183609,0.805003
158.677856,-200.293137,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0922,158.677856,0.792228
136.020950,-200.084061,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.1122,136.020950,0.679819
87.821053,-200.183624,-0.6649,0.000000,3.949250,-0.009975,0.000000,0.000000,0.1322,87.821053,0.438702
39.203320,-200.069916,-0.6650,0.000000,3.949250,-0.009450,0.000000,0.000000,0.1522,39.203320,0.195948
-7.751740,-199.436020,-0.6652,0.000000,3.949250,-0.009675,0.000000,0.000000,0.1722,7.751740,0.038868
-57.896584,-199.451828,-0.6656,0.000000,3.949250,-0.010900,0.000000,0.000000,0.1922,57.896584,0.290279
-109.667839,-200.066162,-0.6660,0.000000,3.949250,-0.012500,0.000000,0.000000,0.2122,109.667839,0.548158
-131.289642,-202.015320,-0.6660,0.000000,3.949250,-0.010125,0.000000,0.000000,0.2322,131.289642,0.649899
-143.016144,-203.180664,-0.6657,0.000000,3.949250,-0.006150,0.000000,0.000000,0.2522,143.016144,0.703887
-146.019272,-204.231888,-0.6657,0.000000,3.949250,-0.005850,0.000000,0.000000,0.2722,146.019272,0.714968
-145.971466,-205.033630,-0.6661,0.000000,3.949250,-0.008000,0.000000,0.000000,0.2922,145.971466,0.711939
-150.170395,-205.335983,-0.6665,0.000000,3.949250,-0.010000,0.000000,0.000000,0.3122,150.170395,0.731340
-153.841049,-205.285187,-0.6684,0.000000,3.949250,-0.021400,0.000000,0.000000,0.3322,153.841049,0.749402
-156.370300,-205.253952,-0.6696,0.000000,3.949250,-0.027600,0.000000,0.000000,0.3522,156.370300,0.761838
-160.941727,-205.094025,-0.6707,0.000000,3.949250,-0.031800,0.000000,0.000000,0.3722,160.941727,0.784722
-160.111420,-204.773727,-0.6718,0.000000,3.949250,-0.035200,0.000000,0.000000,0.3922,160.111420,0.781894
-159.366409,-204.542572,-0.6730,0.000000,3.949250,-0.040000,0.000000,0.000000,0.4122,159.366409,0.779136
