Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:48
Created by CETR UMT ver.1.136.257 12 May 2022 12:25:44
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_047.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:25:44
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.12
Data Count   = 107
Started at: 12:25:44.534 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

162.887634,-200.264404,-0.6615,0.000000,3.949250,0.002033,0.000000,0.000000,0.0000,162.887634,0.813363
162.841766,-200.223587,-0.6615,0.000000,3.949250,0.002000,0.000000,0.000000,0.0175,162.841766,0.813300
162.877609,-200.269821,-0.6615,0.000000,3.949250,0.002000,0.000000,0.000000,0.0375,162.877609,0.813291
162.842163,-200.239426,-0.6615,0.000000,3.949250,0.002000,0.000000,0.000000,0.0575,162.842163,0.813237
161.851151,-200.292740,-0.6615,0.000000,3.949250,0.000100,0.000000,0.000000,0.0775,161.851151,0.808073
149.659439,-199.948303,-0.6615,0.000000,3.949250,0.000000,0.000000,0.000000,0.0975,149.659439,0.748491
106.258835,-200.173203,-0.6622,0.000000,3.949250,-0.004725,0.000000,0.000000,0.1175,106.258835,0.530834
55.500843,-200.386856,-0.6630,0.000000,3.949250,-0.010100,0.000000,0.000000,0.1375,55.500843,0.276968
9.176656,-199.697556,-0.6630,0.000000,3.949250,-0.008500,0.000000,0.000000,0.1575,9.176656,0.045953
-39.321167,-199.564713,-0.6635,0.000000,3.949250,-0.010400,0.000000,0.000000,0.1775,39.321167,0.197035
-90.770187,-199.992035,-0.6635,0.000000,3.949250,-0.009100,0.000000,0.000000,0.1975,90.770187,0.453869
-123.974266,-201.607162,-0.6635,0.000000,3.949250,-0.007825,0.000000,0.000000,0.2175,123.974266,0.614930
-136.323410,-202.962006,-0.6635,0.000000,3.949250,-0.006700,0.000000,0.000000,0.2375,136.323410,0.671670
-135.950500,-204.438461,-0.6635,0.000000,3.949250,-0.005500,0.000000,0.000000,0.2575,135.950500,0.664995
-135.361649,-205.059021,-0.6640,0.000000,3.949250,-0.008350,0.000000,0.000000,0.2775,135.361649,0.660111
-142.488708,-205.154404,-0.6654,0.000000,3.949250,-0.017250,0.000000,0.000000,0.2975,142.488708,0.694544
-150.220261,-205.053207,-0.6665,0.000000,3.949250,-0.023025,0.000000,0.000000,0.3175,150.220261,0.732592
-152.205978,-205.114838,-0.6674,0.000000,3.949250,-0.027300,0.000000,0.000000,0.3375,152.205978,0.742052
-151.966171,-205.050690,-0.6690,0.000000,3.949250,-0.034500,0.000000,0.000000,0.3575,151.966171,0.741115
-159.304596,-204.818710,-0.6700,0.000000,3.949250,-0.036400,0.000000,0.000000,0.3775,159.304596,0.777783
-156.313431,-204.621704,-0.6714,0.000000,3.949250,-0.040700,0.000000,0.000000,0.3975,156.313431,0.763914
-161.606796,-204.393066,-0.6727,0.000000,3.949250,-0.044750,0.000000,0.000000,0.4175,161.606796,0.790667
