Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:51
Created by CETR UMT ver.1.136.257 12 May 2022 12:30:11
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_101.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:30:11
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.10
Data Count   = 106
Started at: 12:30:11.606 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

168.609818,-200.284409,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0000,168.609818,0.841852
168.618484,-200.269409,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0150,168.618484,0.841958
168.633713,-200.271484,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0350,168.633713,0.842026
168.583450,-200.303146,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0550,168.583450,0.841642
167.939819,-200.266495,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0750,167.939819,0.838582
157.286728,-200.229843,-0.6635,0.000000,3.949250,0.000000,0.000000,0.000000,0.0950,157.286728,0.785531
116.603691,-200.033676,-0.6637,0.000000,3.949250,-0.001500,0.000000,0.000000,0.1150,116.603691,0.582920
65.630600,-200.675079,-0.6645,0.000000,3.949250,-0.007500,0.000000,0.000000,0.1350,65.630600,0.327049
18.450148,-199.995773,-0.6650,0.000000,3.949250,-0.009400,0.000000,0.000000,0.1550,18.450148,0.092253
-29.474083,-199.632172,-0.6650,0.000000,3.949250,-0.008450,0.000000,0.000000,0.1750,29.474083,0.147642
-80.548950,-199.960800,-0.6650,0.000000,3.949250,-0.007100,0.000000,0.000000,0.1950,80.548950,0.402824
-123.566742,-201.147797,-0.6650,0.000000,3.949250,-0.005900,0.000000,0.000000,0.2150,123.566742,0.614308
-137.381577,-202.894531,-0.6650,0.000000,3.949250,-0.005500,0.000000,0.000000,0.2350,137.381577,0.677108
-146.680206,-204.058624,-0.6645,0.000000,3.949250,-0.000275,0.000000,0.000000,0.2550,146.680206,0.718814
-149.606277,-205.050690,-0.6649,0.000000,3.949250,-0.002800,0.000000,0.000000,0.2750,149.606277,0.729606
-153.240265,-205.592133,-0.6655,0.000000,3.949250,-0.006925,0.000000,0.000000,0.2950,153.240265,0.745361
-157.211731,-205.831207,-0.6663,0.000000,3.949250,-0.012400,0.000000,0.000000,0.3150,157.211731,0.763790
-159.336746,-205.833282,-0.6675,0.000000,3.949250,-0.020000,0.000000,0.000000,0.3350,159.336746,0.774106
-156.794312,-205.615463,-0.6694,0.000000,3.949250,-0.029500,0.000000,0.000000,0.3550,156.794312,0.762561
-163.995544,-205.351395,-0.6702,0.000000,3.949250,-0.031750,0.000000,0.000000,0.3750,163.995544,0.798609
-160.977997,-205.128174,-0.6714,0.000000,3.949250,-0.035875,0.000000,0.000000,0.3950,160.977997,0.784768
-162.703308,-204.939499,-0.6728,0.000000,3.949250,-0.041000,0.000000,0.000000,0.4150,162.703308,0.793909
