Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:46
Created by CETR UMT ver.1.136.257 12 May 2022 12:22:22
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_006.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:22:22
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.15
Data Count   = 109
Started at: 12:22:22.481 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

152.526154,-200.236084,-0.6620,0.000000,3.949250,0.001550,0.000000,0.000000,0.0000,152.526154,0.761732
152.535629,-200.239838,-0.6620,0.000000,3.949250,0.001200,0.000000,0.000000,0.0150,152.535629,0.761765
152.474243,-200.246918,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0350,152.474243,0.761431
152.511734,-200.248581,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0550,152.511734,0.761612
151.878815,-200.269821,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0750,151.878815,0.758371
142.795685,-200.144455,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0950,142.795685,0.713463
104.657555,-199.720474,-0.6623,0.000000,3.949250,-0.002100,0.000000,0.000000,0.1150,104.657555,0.524020
54.526314,-200.089478,-0.6635,0.000000,3.949250,-0.010500,0.000000,0.000000,0.1350,54.526314,0.272510
7.169082,-199.478500,-0.6640,0.000000,3.949250,-0.011925,0.000000,0.000000,0.1550,7.169082,0.035939
-41.513756,-199.513901,-0.6637,0.000000,3.949250,-0.007800,0.000000,0.000000,0.1750,41.513756,0.208075
-92.568840,-200.079498,-0.6633,0.000000,3.949250,-0.003300,0.000000,0.000000,0.1950,92.568840,0.462660
-116.794891,-202.080307,-0.6628,0.000000,3.949250,0.001500,0.000000,0.000000,0.2150,116.794891,0.577963
-120.511292,-203.891602,-0.6620,0.000000,3.949250,0.007500,0.000000,0.000000,0.2350,120.511292,0.591056
-121.390633,-205.064026,-0.6615,0.000000,3.949250,0.008925,0.000000,0.000000,0.2550,121.390633,0.591965
-136.315994,-205.112335,-0.6619,0.000000,3.949250,0.005500,0.000000,0.000000,0.2750,136.315994,0.664592
-138.198700,-205.849518,-0.6625,0.000000,3.949250,0.000625,0.000000,0.000000,0.2950,138.198700,0.671358
-145.269318,-205.889084,-0.6633,0.000000,3.949250,-0.005600,0.000000,0.000000,0.3150,145.269318,0.705571
-145.584122,-205.962799,-0.6645,0.000000,3.949250,-0.014000,0.000000,0.000000,0.3350,145.584122,0.706847
-140.304764,-205.789551,-0.6659,0.000000,3.949250,-0.025400,0.000000,0.000000,0.3550,140.304764,0.681788
-148.377502,-205.631287,-0.6671,0.000000,3.949250,-0.028100,0.000000,0.000000,0.3750,148.377502,0.721571
-149.776047,-205.154404,-0.6684,0.000000,3.949250,-0.032600,0.000000,0.000000,0.3950,149.776047,0.730065
-148.386978,-204.845367,-0.6698,0.000000,3.949250,-0.038100,0.000000,0.000000,0.4150,148.386978,0.724385
