Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:46
Created by CETR UMT ver.1.136.257 12 May 2022 12:22:17
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_005.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:22:17
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.04
Data Count   = 103
Started at: 12:22:17.581 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

154.652405,-200.317719,-0.6620,0.000000,3.949250,0.000450,0.000000,0.000000,0.0000,154.652405,0.772036
154.712967,-200.234833,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0200,154.712967,0.772658
154.660645,-200.278152,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0400,154.660645,0.772229
154.653229,-200.257736,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0600,154.653229,0.772271
153.704254,-200.263153,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0800,153.704254,0.767511
141.110748,-200.038254,-0.6627,0.000000,3.949250,-0.005250,0.000000,0.000000,0.1000,141.110748,0.705419
98.275925,-199.913300,-0.6630,0.000000,3.949250,-0.007050,0.000000,0.000000,0.1200,98.275925,0.491593
48.996830,-200.074905,-0.6630,0.000000,3.949250,-0.006200,0.000000,0.000000,0.1400,48.996830,0.244892
1.348272,-199.613434,-0.6630,0.000000,3.949250,-0.005000,0.000000,0.000000,0.1600,1.348272,0.006754
-47.878490,-199.673828,-0.6630,0.000000,3.949250,-0.004525,0.000000,0.000000,0.1800,47.878490,0.239784
-98.826859,-200.298553,-0.6634,0.000000,3.949250,-0.006250,0.000000,0.000000,0.2000,98.826859,0.493398
-117.341286,-202.243149,-0.6635,0.000000,3.949250,-0.006550,0.000000,0.000000,0.2200,117.341286,0.580199
-119.311363,-203.934921,-0.6635,0.000000,3.949250,-0.005700,0.000000,0.000000,0.2400,119.311363,0.585046
-121.968758,-204.804565,-0.6635,0.000000,3.949250,-0.004500,0.000000,0.000000,0.2600,121.968758,0.595537
-131.563660,-205.080673,-0.6640,0.000000,3.949250,-0.007825,0.000000,0.000000,0.2800,131.563660,0.641522
-139.702744,-205.184799,-0.6651,0.000000,3.949250,-0.014300,0.000000,0.000000,0.3000,139.702744,0.680863
-148.517197,-205.109833,-0.6660,0.000000,3.949250,-0.020825,0.000000,0.000000,0.3200,148.517197,0.724086
-150.547852,-205.129822,-0.6670,0.000000,3.949250,-0.027300,0.000000,0.000000,0.3400,150.547852,0.733915
-145.753891,-204.885345,-0.6690,0.000000,3.949250,-0.034500,0.000000,0.000000,0.3600,145.753891,0.711392
-151.137924,-204.812897,-0.6700,0.000000,3.949250,-0.036875,0.000000,0.000000,0.3800,151.137924,0.737932
-154.605835,-204.510941,-0.6714,0.000000,3.949250,-0.041550,0.000000,0.000000,0.4000,154.605835,0.755978
-150.451019,-204.094025,-0.6725,0.000000,3.949250,-0.043950,0.000000,0.000000,0.4200,150.451019,0.737165
