Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:49
Created by CETR UMT ver.1.136.257 12 May 2022 12:28:17
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_078.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:28:17
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.15
Data Count   = 109
Started at: 12:28:17.807 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

168.530533,-200.307373,-0.6620,0.000000,3.949250,0.001526,0.000000,0.000000,0.0000,168.530533,0.841360
168.518768,-200.251923,-0.6620,0.000000,3.949250,0.001500,0.000000,0.000000,0.0147,168.518768,0.841534
168.489914,-200.287323,-0.6620,0.000000,3.949250,0.001500,0.000000,0.000000,0.0347,168.489914,0.841241
168.501862,-200.232346,-0.6620,0.000000,3.949250,0.001500,0.000000,0.000000,0.0547,168.501862,0.841532
167.625824,-200.305634,-0.6620,0.000000,3.949250,0.000450,0.000000,0.000000,0.0747,167.625824,0.836850
156.334869,-200.163620,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.0947,156.334869,0.781035
116.446289,-200.114899,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.1147,116.446289,0.581897
65.232132,-200.672989,-0.6620,0.000000,3.949250,0.000000,0.000000,0.000000,0.1347,65.232132,0.325067
17.341696,-200.000763,-0.6634,0.000000,3.949250,-0.009025,0.000000,0.000000,0.1547,17.341696,0.086708
-31.154066,-199.515976,-0.6642,0.000000,3.949250,-0.013700,0.000000,0.000000,0.1747,31.154066,0.156148
-81.342171,-199.663406,-0.6647,0.000000,3.949250,-0.015500,0.000000,0.000000,0.1947,81.342171,0.407396
-118.351662,-201.213181,-0.6650,0.000000,3.949250,-0.015000,0.000000,0.000000,0.2147,118.351662,0.588190
-134.517746,-202.491791,-0.6650,0.000000,3.949250,-0.013000,0.000000,0.000000,0.2347,134.517746,0.664312
-142.154114,-203.832458,-0.6645,0.000000,3.949250,-0.007300,0.000000,0.000000,0.2547,142.154114,0.697407
-143.828735,-204.811218,-0.6645,0.000000,3.949250,-0.006300,0.000000,0.000000,0.2747,143.828735,0.702250
-148.375854,-205.433029,-0.6650,0.000000,3.949250,-0.008700,0.000000,0.000000,0.2947,148.375854,0.722259
-151.616730,-205.643784,-0.6657,0.000000,3.949250,-0.013100,0.000000,0.000000,0.3147,151.616730,0.737278
-155.387939,-205.513824,-0.6665,0.000000,3.949250,-0.017500,0.000000,0.000000,0.3347,155.387939,0.756095
-156.494751,-205.492599,-0.6684,0.000000,3.949250,-0.027475,0.000000,0.000000,0.3547,156.494751,0.761559
-161.952530,-205.212296,-0.6696,0.000000,3.949250,-0.032550,0.000000,0.000000,0.3747,161.952530,0.789195
-157.786972,-204.927002,-0.6709,0.000000,3.949250,-0.037650,0.000000,0.000000,0.3947,157.786972,0.769967
-158.368820,-204.663361,-0.6722,0.000000,3.949250,-0.041700,0.000000,0.000000,0.4147,158.368820,0.773802
