Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:48
Created by CETR UMT ver.1.136.257 12 May 2022 12:25:39
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_046.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:25:39
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.10
Data Count   = 106
Started at: 12:25:39.761 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

171.767883,-200.213181,-0.6610,0.000000,3.949250,0.003025,0.000000,0.000000,0.0000,171.767883,0.857925
171.797546,-200.249008,-0.6610,0.000000,3.949250,0.002650,0.000000,0.000000,0.0200,171.797546,0.857920
171.763336,-200.227753,-0.6610,0.000000,3.949250,0.002500,0.000000,0.000000,0.0400,171.763336,0.857840
171.763763,-200.276077,-0.6610,0.000000,3.949250,0.002300,0.000000,0.000000,0.0600,171.763763,0.857635
170.794174,-200.220261,-0.6610,0.000000,3.949250,0.001500,0.000000,0.000000,0.0800,170.794174,0.853031
158.745010,-200.064499,-0.6610,0.000000,3.949250,0.000075,0.000000,0.000000,0.1000,158.745010,0.793469
115.664597,-200.319809,-0.6617,0.000000,3.949250,-0.003850,0.000000,0.000000,0.1200,115.664597,0.577400
64.146759,-200.706314,-0.6622,0.000000,3.949250,-0.008425,0.000000,0.000000,0.1400,64.146759,0.319605
17.108879,-199.776703,-0.6628,0.000000,3.949250,-0.013700,0.000000,0.000000,0.1600,17.108879,0.085640
-30.379387,-199.159058,-0.6640,0.000000,3.949250,-0.020500,0.000000,0.000000,0.1800,30.379387,0.152538
-81.178177,-199.403107,-0.6645,0.000000,3.949250,-0.017650,0.000000,0.000000,0.2000,81.178177,0.407106
-120.873077,-200.803757,-0.6645,0.000000,3.949250,-0.015050,0.000000,0.000000,0.2200,120.873077,0.601946
-131.370804,-202.730026,-0.6643,0.000000,3.949250,-0.011525,0.000000,0.000000,0.2400,131.370804,0.648009
-136.639465,-203.990738,-0.6640,0.000000,3.949250,-0.008300,0.000000,0.000000,0.2600,136.639465,0.669832
-136.324234,-204.871201,-0.6640,0.000000,3.949250,-0.007500,0.000000,0.000000,0.2800,136.324234,0.665414
-145.538376,-205.241455,-0.6640,0.000000,3.949250,-0.009875,0.000000,0.000000,0.3000,145.538376,0.709108
-151.575943,-205.463013,-0.6654,0.000000,3.949250,-0.016300,0.000000,0.000000,0.3200,151.575943,0.737729
-152.936981,-205.449265,-0.6665,0.000000,3.949250,-0.021025,0.000000,0.000000,0.3400,152.936981,0.744403
-150.768295,-205.430954,-0.6674,0.000000,3.949250,-0.025400,0.000000,0.000000,0.3600,150.768295,0.733912
-158.430206,-205.048203,-0.6690,0.000000,3.949250,-0.033000,0.000000,0.000000,0.3800,158.430206,0.772649
-156.154800,-204.991135,-0.6704,0.000000,3.949250,-0.038700,0.000000,0.000000,0.4000,156.154800,0.761764
-157.393860,-204.757492,-0.6716,0.000000,3.949250,-0.040400,0.000000,0.000000,0.4200,157.393860,0.768684
