Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:49
Created by CETR UMT ver.1.136.257 12 May 2022 12:28:22
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_079.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:28:22
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.12
Data Count   = 107
Started at: 12:28:22.761 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

162.200592,-200.282730,-0.6625,0.000000,3.949250,0.001525,0.000000,0.000000,0.0000,162.200592,0.809858
162.182037,-200.261505,-0.6625,0.000000,3.949250,0.000450,0.000000,0.000000,0.0200,162.182037,0.809851
162.186981,-200.316467,-0.6625,0.000000,3.949250,0.000000,0.000000,0.000000,0.0400,162.186981,0.809654
162.077393,-200.256073,-0.6625,0.000000,3.949250,0.000000,0.000000,0.000000,0.0600,162.077393,0.809351
159.311600,-200.260239,-0.6625,0.000000,3.949250,0.000000,0.000000,0.000000,0.0800,159.311600,0.795523
135.502991,-200.051575,-0.6625,0.000000,3.949250,0.000000,0.000000,0.000000,0.1000,135.502991,0.677340
86.837036,-200.281067,-0.6632,0.000000,3.949250,-0.004900,0.000000,0.000000,0.1200,86.837036,0.433576
37.699696,-200.170273,-0.6640,0.000000,3.949250,-0.009475,0.000000,0.000000,0.1400,37.699696,0.188338
-9.124324,-199.568039,-0.6645,0.000000,3.949250,-0.012200,0.000000,0.000000,0.1600,9.124324,0.045720
-58.654366,-199.652176,-0.6645,0.000000,3.949250,-0.011000,0.000000,0.000000,0.1800,58.654366,0.293783
-107.310837,-200.603012,-0.6645,0.000000,3.949250,-0.008625,0.000000,0.000000,0.2000,107.310837,0.534941
-125.052643,-202.569672,-0.6642,0.000000,3.949250,-0.005000,0.000000,0.000000,0.2200,125.052643,0.617332
-140.167542,-203.394318,-0.6640,0.000000,3.949250,-0.003050,0.000000,0.000000,0.2400,140.167542,0.689142
-143.651962,-204.697937,-0.6640,0.000000,3.949250,-0.002500,0.000000,0.000000,0.2600,143.651962,0.701775
-146.758499,-205.314758,-0.6640,0.000000,3.949250,-0.002500,0.000000,0.000000,0.2800,146.758499,0.714798
-154.134857,-205.456772,-0.6654,0.000000,3.949250,-0.012000,0.000000,0.000000,0.3000,154.134857,0.750206
-157.857849,-205.562576,-0.6662,0.000000,3.949250,-0.019150,0.000000,0.000000,0.3200,157.857849,0.767931
-157.968689,-205.620880,-0.6676,0.000000,3.949250,-0.026275,0.000000,0.000000,0.3400,157.968689,0.768252
-158.541885,-205.493851,-0.6692,0.000000,3.949250,-0.032100,0.000000,0.000000,0.3600,158.541885,0.771516
-160.844070,-205.119843,-0.6700,0.000000,3.949250,-0.034500,0.000000,0.000000,0.3800,160.844070,0.784147
-159.850189,-204.903671,-0.6719,0.000000,3.949250,-0.041150,0.000000,0.000000,0.4000,159.850189,0.780124
-163.944855,-204.525925,-0.6727,0.000000,3.949250,-0.045000,0.000000,0.000000,0.4200,163.944855,0.801585
