Created by CETR Data Viewer ver.2.19.106 05/12/22 14:43:50
Created by CETR UMT ver.1.136.257 12 May 2022 12:29:02
Total number of runs - 1
Total number of steps = 2
Indenter tip ID = 0
C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\HEA-HT-2N-b\HT-2n-6-4 2_087.tst

Run # 1
Script file C:\Documents and Settings\user\Desktop\Tan Xipeng\Gao Chenkai\Standard wear.cts
Run date 12 May 2022 12:29:02
Step No. 1

Step Type Code: 0
Radius       = 3.9493
Velocity     = 240
Set Force    = -200
Duration     = 2.18
Data Count   = 110
Started at: 12:29:02.284 12 May 2022

Fx,Fz,Z,Y,X,V1,V2,V3,T,Ff,COF
g,g,mm,mm,mm,mm/sec,mm/sec,mm/sec,sec,g,

160.289322,-200.328171,-0.6630,0.000000,3.949250,0.001517,0.000000,0.000000,0.0000,160.289322,0.800134
160.321991,-200.287323,-0.6630,0.000000,3.949250,0.000825,0.000000,0.000000,0.0172,160.321991,0.800460
160.282013,-200.347290,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0372,160.282013,0.800021
160.289429,-200.304810,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0572,160.289429,0.800228
159.457489,-200.327713,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0772,159.457489,0.795983
148.094406,-200.141129,-0.6630,0.000000,3.949250,0.000000,0.000000,0.000000,0.0972,148.094406,0.739950
106.584366,-200.049911,-0.6635,0.000000,3.949250,-0.003150,0.000000,0.000000,0.1172,106.584366,0.532789
56.568913,-200.303146,-0.6641,0.000000,3.949250,-0.007500,0.000000,0.000000,0.1372,56.568913,0.282416
9.801756,-199.712570,-0.6645,0.000000,3.949250,-0.009500,0.000000,0.000000,0.1572,9.801756,0.049079
-39.030251,-199.557205,-0.6650,0.000000,3.949250,-0.010450,0.000000,0.000000,0.1772,39.030251,0.195584
-91.006714,-200.080322,-0.6650,0.000000,3.949250,-0.009450,0.000000,0.000000,0.1972,91.006714,0.454851
-129.225204,-201.466812,-0.6650,0.000000,3.949250,-0.008100,0.000000,0.000000,0.2172,129.225204,0.641422
-138.045425,-203.319351,-0.6649,0.000000,3.949250,-0.006100,0.000000,0.000000,0.2372,138.045425,0.678959
-142.934967,-204.423874,-0.6645,0.000000,3.949250,-0.002500,0.000000,0.000000,0.2572,142.934967,0.699209
-143.999741,-205.194382,-0.6650,0.000000,3.949250,-0.005825,0.000000,0.000000,0.2772,143.999741,0.701772
-151.426361,-205.440109,-0.6657,0.000000,3.949250,-0.010550,0.000000,0.000000,0.2972,151.426361,0.737083
-154.767380,-205.603378,-0.6667,0.000000,3.949250,-0.016100,0.000000,0.000000,0.3172,154.767380,0.752747
-155.281219,-205.547150,-0.6678,0.000000,3.949250,-0.022100,0.000000,0.000000,0.3372,155.281219,0.755453
-156.905151,-205.447617,-0.6690,0.000000,3.949250,-0.028500,0.000000,0.000000,0.3572,156.905151,0.763723
-159.469421,-205.227707,-0.6709,0.000000,3.949250,-0.036575,0.000000,0.000000,0.3772,159.469421,0.777036
-160.128723,-204.978226,-0.6717,0.000000,3.949250,-0.038400,0.000000,0.000000,0.3972,160.128723,0.781199
-157.831894,-204.658783,-0.6729,0.000000,3.949250,-0.041700,0.000000,0.000000,0.4172,157.831894,0.771195
